threshold;tpr;fpr;ks;n_good;n_default;interest_good;mean_loan_default;mean_ann_default;mean_term_default;r_monthly;interest_default;rejected_good;rejected_default;approved_good;approved_default
0.2792049057668622;0.19169522273735135;0.02795531398827966;0.16373990874907168;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1579;951;54904;4009
0.2791045523946592;0.19169522273735135;0.027990722872368676;0.16370449986498267;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1581;951;54902;4009
0.27907411403397314;0.19189679500100787;0.027990722872368676;0.1639060721286392;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1581;952;54902;4009
0.27898245722237885;0.19189679500100787;0.028008427314413185;0.16388836768659468;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1582;952;54901;4009
0.27893311704942486;0.1920983672646644;0.028008427314413185;0.1640899399502512;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1582;953;54901;4008
0.2787141394810869;0.1920983672646644;0.028132358408724748;0.16396600885593965;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1589;953;54894;4008
0.278671102670782;0.19250151179197741;0.028132358408724748;0.16436915338325267;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1589;955;54894;4006
0.2785405069301012;0.19250151179197741;0.028167767292813766;0.16433374449916366;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1591;955;54892;4006
0.27849298020153646;0.19270308405563394;0.028167767292813766;0.16453531676282018;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1591;956;54892;4005
0.27819484521971866;0.19270308405563394;0.02825628950303631;0.16444679455259764;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1596;956;54887;4005
0.27814265290586443;0.19290465631929046;0.02825628950303631;0.16464836681625417;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1596;957;54887;4004
0.2778711163252066;0.19290465631929046;0.028327107271214347;0.16457754904807612;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1600;957;54883;4004
0.2778684800073014;0.193106228582947;0.028327107271214347;0.16477912131173264;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1600;958;54883;4003
0.27767439880041817;0.193106228582947;0.028362516155303365;0.16474371242764363;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1602;958;54881;4003
0.2775664129512584;0.1933078008466035;0.028362516155303365;0.16494528469130015;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1602;959;54881;4002
0.27755738145398084;0.1933078008466035;0.028380220597347874;0.16492758024925563;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1603;959;54880;4002
0.2773764435696018;0.19350937311026004;0.028380220597347874;0.16512915251291216;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1603;960;54880;4001
0.27706550129890156;0.19350937311026004;0.028521856133703945;0.1649875169765561;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1611;960;54872;4001
0.2770526166828082;0.19371094537391656;0.028521856133703945;0.1651890892402126;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1611;961;54872;4000
0.27698433082047924;0.19371094537391656;0.02861037834392649;0.16510056702999007;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1616;961;54867;4000
0.2769316950518067;0.19391251763757306;0.02861037834392649;0.16530213929364657;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1616;961;54867;3999
0.27690224490273896;0.19391251763757306;0.028628082785971;0.16528443485160205;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1617;961;54866;3999
0.27683013517781385;0.19411408990122958;0.028628082785971;0.16548600711525857;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1617;963;54866;3998
0.27680164058531076;0.19411408990122958;0.028663491670060017;0.16545059823116956;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1619;963;54864;3998
0.2767842801409294;0.1943156621648861;0.028663491670060017;0.16565217049482608;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1619;964;54864;3997
0.2766077886148643;0.1943156621648861;0.028698900554149035;0.16561676161073707;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1621;964;54862;3997
0.27657903655111327;0.19451723442854263;0.028698900554149035;0.1658183338743936;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1621;965;54862;3996
0.2764264622888079;0.19451723442854263;0.02876971832232707;0.16574751610621555;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1625;965;54858;3996
0.27641799553451213;0.19471880669219915;0.02876971832232707;0.16594908836987207;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1625;966;54858;3994
0.27636950215754097;0.19471880669219915;0.028822831648460598;0.16589597504373854;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1628;966;54855;3994
0.27617097831682463;0.19492037895585568;0.028822831648460598;0.16609754730739507;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1628;967;54855;3994
0.2761577163341991;0.19492037895585568;0.028840536090505107;0.16607984286535057;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1629;967;54854;3994
0.2761513045601298;0.19532352348316873;0.028840536090505107;0.16648298739266362;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1629;969;54854;3992
0.27604047066730864;0.19532352348316873;0.028875944974594125;0.1664475785085746;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1631;969;54852;3992
0.27593458501673257;0.19572666801048175;0.028875944974594125;0.16685072303588763;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1631;971;54852;3990
0.2757762042956769;0.19572666801048175;0.028893649416638634;0.1668330185938431;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1632;971;54851;3990
0.2757574741518919;0.19592824027413827;0.028893649416638634;0.16703459085749964;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1632;972;54851;3989
